respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.1539818668357705,0.6039027209229075
26708,0.12486927424623735,0.8211774091288417
26709,0.22249687202152377,0.42912159447928
26710,0.35008955053620533,0.10939865930348369
26711,0.2841822294368282,0.4821478816244391
26712,0.4795009095034792,0.1218404703317656
26713,0.17050122230329257,0.5239606771583485
26714,0.08009538032578509,0.6370886104876605
26715,0.07694979667973126,0.6277698012940014
26716,0.1618193569612169,0.19582623299467938
26717,0.04995512748131504,0.6901579598705956
26718,0.4236275301177723,0.29404734979358016
26719,0.19373337673987004,0.19437047627326154
26720,0.07268492022445572,0.8820346817607043
26721,0.12326909581380188,0.7741772672344203
26722,0.032154187439872424,0.9166898737595225
26723,0.2061888128001974,0.3238598539740649
26724,0.08649672568195245,0.4119960524911369
26725,0.03748720971549063,0.9314012065004064
26726,0.0600747791076721,0.9265447480810638
26727,0.17703343219161868,0.28989912280316643
26728,0.36304932411695173,0.3386466056862425
26729,0.1888661314704344,0.48579483055829986
26730,0.09917817706368591,0.6711675142879651
26731,0.13566148083200777,0.3098565220091877
26732,0.20020314787647933,0.6276417705473936
26733,0.22501279235762156,0.37086070354968736
26734,0.2908108426557695,0.7052044388561659
26735,0.2747133584056992,0.3823961238885143
26736,0.24538368148986248,0.6531762055644483
26737,0.11197032059048642,0.6615679882197969
26738,0.22246907853572406,0.42664873084735533
26739,0.21309108965298967,0.5750935048983722
26740,0.08691382658245364,0.8748356777477543
26741,0.22012770490101316,0.2244763046234043
26742,0.13933480286655997,0.48545508391743264
26743,0.10526711375637658,0.3860843101925435
26744,0.1989474235177719,0.36216175917387816
26745,0.47646174540996844,0.09424704182631083
26746,0.13818641190988287,0.6529407500804486
26747,0.0888139052967149,0.6120289129571713
26748,0.10645994655155426,0.9432326026042775
26749,0.14670732285201898,0.5951796779347509
26750,0.31852563803808137,0.22070605314956426
26751,0.40877896629130445,0.3075713585560027
26752,0.15644216321987564,0.7963867283822836
26753,0.17521655330107822,0.39142099535080743
26754,0.1911737345788816,0.7326359731405472
26755,0.4213077332882336,0.17749944274497265
26756,0.1988291846197708,0.6834472168999921
26757,0.21006824035065977,0.7147923028818657
26758,0.21193047961536976,0.2904272196455575
26759,0.19594514544754923,0.4371720733114254
26760,0.08971302245781342,0.8871110158205561
26761,0.12905124489213088,0.451584609298884
26762,0.23099248131181313,0.12392292938868776
26763,0.6652853519680738,0.048454374530687794
26764,0.5939923738675769,0.1368433519283161
26765,0.5762060381758762,0.16050679299697335
26766,0.16199757696611838,0.7577940875883835
26767,0.694992833390431,0.2252576361559332
26768,0.22515662428934602,0.6424164633096343
26769,0.05638910276389073,0.9247611964441005
26770,0.26299510183407276,0.6014346417118552
26771,0.04952948578438478,0.7945010598834756
26772,0.25205555210721714,0.3601969792183157
26773,0.16940539166553337,0.6983553007175343
26774,0.21279537310056681,0.4233356978761551
26775,0.12831110287798253,0.5186997754984979
26776,0.31909455702917006,0.7114550282954124
26777,0.1350277395447923,0.3405444059576963
